ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,"2x12""-10' PT",$20.99,$22.69,15.00%,,$26.09,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-12' PT",$24.89,$26.50,15.00%,,$30.48,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-14' PT",$28.89,$29.69,15.00%,,$34.14,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-16' PT",$34.50,$33.50,15.00%,,$38.53,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-8' PT",$14.50,$13.69,15.00%,,$15.74,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-10' PT",$17.50,$16.50,15.00%,,$18.98,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-12' PT",$20.25,$19.50,15.00%,,$22.43,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-16' PT",$27.89,$26.69,15.00%,,$30.69,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x8""-12' PT",$68.47,$68.45,15.00%,,$78.72,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-8' PT",$34.50,$31.50,15.00%,,$36.23,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-10' PT",$41.50,$38.89,15.00%,,$44.72,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-12' PT",$47.50,$44.89,15.00%,,$51.62,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-14' PT",$42.89,$42.89,15.00%,,$49.32,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-16' PT",$61.89,$53.99,15.00%,,$62.09,pcs,Builders First Source BFS Group LLC,PT Lumber,
Common Pine S4S,,"1x8""x14' Common Pine S4S",$2.29,,15.00%,,$2.63,pcs,Builders First Source BFS Group LLC,Common Pine,
RIMBOARD,OSB Rimboard,"9-1/2""-1' OSB Rimboard",$2.69,$2.89,15.00%,,$3.32,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,"11-7/8""-1' OSB Rimboard",$3.19,$3.29,15.00%,,$3.78,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,"14""-1' OSB Rimboard",$3.50,$3.50,15.00%,,$4.03,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,"16""-1' OSB Rimboard",$4.19,$4.50,15.00%,,$5.18,lf,Builders First Source BFS Group LLC,OSB Rimboard,
Laminated Veneer Lumber,,"1-3/4x5-1/2"" LVL",$4.19,$5.50,15.00%,,$6.33,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x7-1/2"" LVL",$6.19,$6.69,15.00%,,$7.69,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x9-1/2"" LVL",$7.50,$7.69,15.00%,,$8.84,lf,Builders First Source BFS Group LLC,LVL Lumber,
