,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,"3-1/2x9-1/2"" AJS 25 (Conc)",-,$5.45,15.00%,,$6.27,lf,Concord,AJS I-Joists,,,
,,,"3-1/2x11-7/8"" AJS 25 (Conc)",-,$8.06,15.00%,,$9.27,lf,Concord,AJS I-Joists,,,
,,,"3-1/2x14"" AJS 25 (Conc)",-,$6.61,15.00%,,$7.60,lf,Concord,AJS I-Joists,,,
,,,"3-1/2x16"" AJS 25 (Conc)",-,$7.04,15.00%,,$8.10,lf,Concord,AJS I-Joists,,,
,MISCELLANEOUS,Insulating,"36""x65' Roofing underlayment",195sf,$118.68,15.00%,,$136.48,rolls,Home Depot,Miscelaneous,,GCP Applied Technologies Grace Select 36 in. x 65 ft. Roll Self Adhered Roofing Underlayment (195 sq. ft.) 5003200 - The Home Depot,
,,,"36""x75' Roofing underlayment",225sf,$245.78,15.00%,,$282.65,rolls,Home Depot,Miscelaneous,,GCP Applied Technologies Grace Ice and Water Shield 36 in. x 75 ft. Roll Self-Adhered Roofing Underlayment (225 sq. ft.) 5003002 - The Home Depot,
,,Foam seal,"3-1/2""x50' FoamSeal",50',$7.84,15.00%,,$9.02,rolls,Home Depot,Miscelaneous,,Owens Corning FoamSealR 3-1/2 in. x 50 ft. Multi-Use Ridged Sill Plate Gasket,
,,,"5-1/2""x50' FoamSeal",50',$10.97,15.00%,,$12.62,rolls,Home Depot,Miscelaneous,,Owens Corning FoamSealR 5-1/2 in. x 50 ft. Multi-Use Ridged Sill Plate Gasket 2FS - The Home Depot,
,,,"7-1/2""x50'-6rolls FoamSeal",300',$94.18,15.00%,,$108.31,rolls,Home Depot,Miscelaneous,,Owens Corning FoamSealR 7-1/2 in. x 50 ft. Multi-Use Ridged Sill Plate Gasket (6-Roll per Bag),
,,Wrap,3'x165' Housewrap TYVEK,495sf,$93.00,15.00%,,$106.95,rolls,Home Depot,Miscelaneous,,TYVEK 3 ft. x 165 ft. HomeWrap Housewrap (495 Sq.Ft) D15540828 - The Home Depot,
,,,9'x150' Housewrap TYVEK,1350sf,$224.00,15.00%,,$257.60,rolls,Home Depot,Miscelaneous,,TYVEK 9 ft. x 150 ft. HomeWrap Housewrap (1350 Sq.Ft),
,,Tape,"2""x164' Tape TYVEK",328sf,$15.67,15.00%,,$18.02,rolls,Home Depot,Miscelaneous,,TYVEK 2 in. x 164 ft. HomeWrap Housewrap Installation Tape (328 Sq.Ft) D13841470 - The Home Depot,
,,,"6""x75'-4s Tape DU PONT",4rolls,$393.61,15.00%,,$452.65,packs,Home Depot,Miscelaneous,,DuPont 6 in. x 75 ft. Flashing Tape,
,,,"3-3/4""x90' ZIP Flashing Tape",-,$34.95,15.00%,,$40.19,rolls,Home Depot,Miscelaneous,,3-3/4 in. x 90 ft. ZIP System Tape 5017100 - The Home Depot,
,,,"3-3/4""x90'_12rolls ZIP Flashing Tape",12rolls,$307.00,28.00%,,$392.96,rolls,Gillies & Prittie Warehouse,Miscelaneous,,,
